speaker,phrase_id,augmentation,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_rolloff,rms_energy
Yinka,1,original,-443.00366,61.465584,23.30963,22.964178,-7.7038736,10.571339,-0.59978545,7.1974673,0.85555875,1.723763,-5.8391733,-1.6640246,-2.77952,4208.135665090461,0.0269365
Yinka,1,pitch_shifted,-458.2451,57.54233,25.080992,13.559326,-7.055449,8.994932,-0.2637912,6.3813987,-1.3606001,-3.108086,-6.2613816,0.9415862,0.57887876,4586.572265625,0.0194827
Yinka,1,time_stretched,-497.46118,80.55204,25.23025,29.736689,-13.401664,11.667099,-2.5993578,9.537913,-0.8990164,3.2399187,-7.4398975,-1.0974624,-4.2000017,4133.015008223684,0.01621219
Yinka,2,original,-445.23715,92.89519,22.550768,32.175518,-10.845563,14.272849,-3.7948036,10.660545,-3.1599495,3.1851885,-3.7186592,1.3991048,-1.8382329,3773.340844326332,0.026806455
Yinka,2,pitch_shifted,-464.895,91.087036,26.447552,20.9664,-11.162173,11.967623,-3.4616172,9.360734,-7.102657,3.5697582,-6.2461867,3.7670405,-2.9997468,4281.930391905737,0.018704638
Yinka,2,time_stretched,-466.60797,99.60472,22.406334,33.15789,-14.930806,14.6167,-6.3401246,12.507329,-6.2951417,4.4064145,-5.0288224,1.7669926,-1.7181114,3720.599724264706,0.018081928
Divine,1,original,-422.43954,44.13838,5.3510904,19.310394,-2.5458856,-1.5801804,-8.852081,4.6425867,-4.6232414,-3.0238278,1.362827,-1.1367531,1.6106571,3961.1000061035156,0.037596133
Divine,1,pitch_shifted,-441.69904,41.646675,5.037119,14.318464,-6.211428,-5.590696,-8.011026,4.07018,-8.779364,0.89864385,-0.76922566,0.95186174,0.8453003,4448.019561767578,0.027764618
Divine,1,time_stretched,-462.7859,54.93689,3.4686155,23.513744,-3.3069572,-0.8691701,-11.867779,4.3512096,-6.152992,-3.7440236,0.5545378,-1.8665909,1.9695228,3918.9620168585525,0.025084417
Divine,2,original,-443.38455,60.515953,6.7239094,16.39634,-5.474705,-2.6777694,-4.0020185,1.9344324,-4.9553995,-1.9623196,-0.24181186,-3.3302698,1.1651816,3937.884521484375,0.028096657
Divine,2,pitch_shifted,-456.3051,53.466187,5.0778084,11.759213,-11.319801,-4.271089,-3.3230782,0.839496,-7.3652096,1.0279876,-2.9142382,0.9645616,1.4240389,4492.9464804159625,0.020117361
Divine,2,time_stretched,-470.50494,62.064034,4.6122355,18.145672,-9.053185,-3.6124477,-5.1741853,2.5794508,-5.795593,-1.8845336,-0.5026943,-2.89204,1.5414855,4028.2718781502017,0.019564265
Florence,1,original,-388.02084,92.38347,2.7302542,21.420923,-4.220097,-2.6942708,-7.32247,-5.1348524,1.4551417,-5.402697,-9.771667,-1.4597791,2.6212523,2836.7654551630435,0.07541142
Florence,1,pitch_shifted,-408.43774,91.167175,0.8747247,18.149872,-10.955045,-3.590039,-9.047415,-0.9362712,-1.7321422,-9.650578,-5.717638,3.4493306,-2.1390972,3085.2164890455165,0.05451477
Florence,1,time_stretched,-413.612,97.12498,0.5353682,22.093885,-6.7686086,-4.0791426,-8.324089,-5.6181703,0.86638594,-6.4549894,-10.2589855,-2.1865268,2.0930138,2771.8332391036183,0.04933749
Florence,2,original,-469.01334,67.30996,13.440573,15.015828,1.0091408,4.875898,-1.4581035,-2.6599247,0.62305015,-1.5899935,-2.2279572,0.35008428,1.7197168,3387.7345872961955,0.03458359
Florence,2,pitch_shifted,-478.43597,66.28001,11.721843,11.218681,-0.70994,2.2089994,-4.3424635,-0.9688644,-0.1188306,-3.1544943,-1.704305,1.1597443,-1.4000561,3748.532767917799,0.023436733
Florence,2,time_stretched,-509.45056,81.621605,10.093982,18.587662,0.021654757,5.204787,-1.9783639,-2.3689756,2.1270134,-1.3665113,-3.0825036,0.78054005,2.0562155,3309.7383197985196,0.025558358
Emma,1,original,-505.15228,65.05795,2.656448,4.93433,-0.28962296,16.161627,-8.911424,-10.172834,-5.051112,-6.197895,-4.2977166,-5.71366,-2.731625,3961.07578125,0.021179507
Emma,1,pitch_shifted,-531.6996,66.41985,-0.43913388,3.6406784,3.7514882,12.350627,-19.135975,-7.51779,-6.295754,-5.0148034,-4.977733,-3.8533862,-1.1240993,4378.475390625,0.014566386
Emma,1,time_stretched,-533.81635,71.57754,0.79707706,6.1832194,-0.50741005,17.527105,-10.907397,-11.225327,-5.013501,-7.133912,-4.3140287,-5.549563,-1.90866,3905.2001953125,0.014481518
Emma,2,original,-512.09937,71.24505,1.0138057,16.34944,-2.8688633,14.079656,-9.280238,-12.352042,-5.5272,-5.49331,-2.5259502,-3.9239063,-6.853196,3763.2305306448065,0.019755995
Emma,2,pitch_shifted,-531.94037,65.68942,1.5282084,13.7617235,-2.8645558,10.0834465,-20.480797,-8.530492,-6.904888,-3.808506,-3.6685941,-6.682526,-5.8601227,4199.732820752641,0.014896466
Emma,2,time_stretched,-535.2806,74.00004,-0.08105534,17.303366,-4.4235306,16.003283,-12.127786,-12.503224,-6.2306194,-6.3725014,-1.7569094,-5.177672,-7.2978354,3711.466540320445,0.013492352
